RegioS,JongerDan20Jaar_9,Perioden
CR01  ,35.0,2001JJ00
CR01  ,22.0,2002JJ00
CR01  ,27.0,2003JJ00
CR01  ,24.0,2004JJ00
CR01  ,15.0,2005JJ00
CR01  ,26.0,2006JJ00
CR01  ,23.0,2007JJ00
CR01  ,33.0,2008JJ00
CR01  ,32.0,2009JJ00
CR01  ,37.0,2010JJ00
CR01  ,20.0,2011JJ00
CR01  ,18.0,2012JJ00
CR01  ,28.0,2013JJ00
CR01  ,12.0,2014JJ00
CR01  ,15.0,2015JJ00
CR01  ,31.0,2016JJ00
CR01  ,18.0,2017JJ00
CR01  ,10.0,2018JJ00
CR01  ,10.0,2019JJ00
CR01  ,15.0,2020JJ00
CR01  ,9.0,2021JJ00
CR01  ,16.0,2022JJ00
CR01  ,6.0,2023JJ00
CR02  ,13.0,1988JJ00
CR02  ,18.0,1989JJ00
CR02  ,10.0,1990JJ00
CR02  ,14.0,1991JJ00
CR02  ,13.0,1992JJ00
CR02  ,4.0,1993JJ00
CR02  ,8.0,1994JJ00
CR02  ,8.0,1995JJ00
CR02  ,9.0,1996JJ00
CR02  ,12.0,1997JJ00
CR02  ,7.0,1998JJ00
CR02  ,6.0,1999JJ00
CR02  ,11.0,2000JJ00
CR02  ,11.0,2001JJ00
CR02  ,12.0,2002JJ00
CR02  ,11.0,2003JJ00
CR02  ,8.0,2004JJ00
CR02  ,6.0,2005JJ00
CR02  ,8.0,2006JJ00
CR02  ,11.0,2007JJ00
CR02  ,2.0,2008JJ00
CR02  ,13.0,2009JJ00
CR02  ,13.0,2010JJ00
CR02  ,3.0,2011JJ00
CR02  ,8.0,2012JJ00
CR02  ,2.0,2013JJ00
CR02  ,1.0,2014JJ00
CR02  ,7.0,2015JJ00
CR02  ,5.0,2016JJ00
CR02  ,6.0,2017JJ00
CR02  ,4.0,2018JJ00
CR02  ,1.0,2019JJ00
CR02  ,3.0,2020JJ00
CR02  ,5.0,2021JJ00
CR02  ,2.0,2022JJ00
CR02  ,4.0,2023JJ00
CR03  ,52.0,1988JJ00
CR03  ,61.0,1989JJ00
CR03  ,66.0,1990JJ00
CR03  ,45.0,1991JJ00
CR03  ,47.0,1992JJ00
CR03  ,32.0,1993JJ00
CR03  ,41.0,1994JJ00
CR03  ,38.0,1995JJ00
CR03  ,62.0,1996JJ00
CR03  ,55.0,1997JJ00
CR03  ,63.0,1998JJ00
CR03  ,62.0,1999JJ00
CR03  ,80.0,2000JJ00
CR03  ,87.0,2001JJ00
CR03  ,74.0,2002JJ00
CR03  ,73.0,2003JJ00
CR03  ,50.0,2004JJ00
CR03  ,51.0,2005JJ00
CR03  ,45.0,2006JJ00
CR03  ,34.0,2007JJ00
CR03  ,36.0,2008JJ00
CR03  ,49.0,2009JJ00
CR03  ,57.0,2010JJ00
CR03  ,52.0,2011JJ00
CR03  ,37.0,2012JJ00
CR03  ,29.0,2013JJ00
CR03  ,28.0,2014JJ00
CR03  ,28.0,2015JJ00
CR03  ,29.0,2016JJ00
CR03  ,27.0,2017JJ00
CR03  ,25.0,2018JJ00
CR03  ,27.0,2019JJ00
CR03  ,21.0,2020JJ00
CR03  ,20.0,2021JJ00
CR03  ,17.0,2022JJ00
CR03  ,23.0,2023JJ00
CR04  ,43.0,1988JJ00
CR04  ,46.0,1989JJ00
CR04  ,35.0,1990JJ00
CR04  ,46.0,1991JJ00
CR04  ,38.0,1992JJ00
CR04  ,24.0,1993JJ00
CR04  ,29.0,1994JJ00
CR04  ,22.0,1995JJ00
CR04  ,28.0,1996JJ00
CR04  ,35.0,1997JJ00
CR04  ,48.0,1998JJ00
CR04  ,39.0,1999JJ00
CR04  ,52.0,2000JJ00
CR04  ,53.0,2001JJ00
CR04  ,51.0,2002JJ00
CR04  ,41.0,2003JJ00
CR04  ,48.0,2004JJ00
CR04  ,48.0,2005JJ00
CR04  ,36.0,2006JJ00
CR04  ,43.0,2007JJ00
CR04  ,47.0,2008JJ00
CR04  ,43.0,2009JJ00
CR04  ,48.0,2010JJ00
CR04  ,40.0,2011JJ00
CR04  ,38.0,2012JJ00
CR04  ,39.0,2013JJ00
CR04  ,30.0,2014JJ00
CR04  ,18.0,2015JJ00
CR04  ,28.0,2016JJ00
CR04  ,25.0,2017JJ00
CR04  ,25.0,2018JJ00
CR04  ,27.0,2019JJ00
CR04  ,17.0,2020JJ00
CR04  ,23.0,2021JJ00
CR04  ,17.0,2022JJ00
CR04  ,24.0,2023JJ00
CR05  ,10.0,1988JJ00
CR05  ,8.0,1989JJ00
CR05  ,10.0,1990JJ00
CR05  ,9.0,1991JJ00
CR05  ,11.0,1992JJ00
CR05  ,9.0,1993JJ00
CR05  ,5.0,1994JJ00
CR05  ,9.0,1995JJ00
CR05  ,7.0,1996JJ00
CR05  ,8.0,1997JJ00
CR05  ,10.0,1998JJ00
CR05  ,9.0,1999JJ00
CR05  ,20.0,2000JJ00
CR05  ,13.0,2001JJ00
CR05  ,10.0,2002JJ00
CR05  ,18.0,2003JJ00
CR05  ,9.0,2004JJ00
CR05  ,14.0,2005JJ00
CR05  ,6.0,2006JJ00
CR05  ,9.0,2007JJ00
CR05  ,2.0,2008JJ00
CR05  ,10.0,2009JJ00
CR05  ,8.0,2010JJ00
CR05  ,6.0,2011JJ00
CR05  ,4.0,2012JJ00
CR05  ,10.0,2013JJ00
CR05  ,11.0,2014JJ00
CR05  ,7.0,2015JJ00
CR05  ,4.0,2016JJ00
CR05  ,5.0,2017JJ00
CR05  ,5.0,2018JJ00
CR05  ,4.0,2019JJ00
CR05  ,4.0,2020JJ00
CR05  ,3.0,2021JJ00
CR05  ,8.0,2022JJ00
CR05  ,4.0,2023JJ00
CR06  ,29.0,1988JJ00
CR06  ,26.0,1989JJ00
CR06  ,24.0,1990JJ00
CR06  ,16.0,1991JJ00
CR06  ,22.0,1992JJ00
CR06  ,21.0,1993JJ00
CR06  ,17.0,1994JJ00
CR06  ,16.0,1995JJ00
CR06  ,24.0,1996JJ00
CR06  ,19.0,1997JJ00
CR06  ,15.0,1998JJ00
CR06  ,26.0,1999JJ00
CR06  ,25.0,2000JJ00
CR06  ,37.0,2001JJ00
CR06  ,38.0,2002JJ00
CR06  ,38.0,2003JJ00
CR06  ,18.0,2004JJ00
CR06  ,32.0,2005JJ00
CR06  ,23.0,2006JJ00
