RegioS,WerkzameBeroepsbevolking_3,Perioden
GM1959,30.0,2019JJ00
GM1959,30.0,2020JJ00
GM1959,31.0,2021JJ00
GM1959,31.0,2022JJ00
GM1959,32.0,2023JJ00
GM0060,2.0,2013JJ00
GM0060,2.0,2014JJ00
GM0060,2.0,2015JJ00
GM0060,2.0,2016JJ00
GM0060,2.0,2017JJ00
GM0060,2.0,2018JJ00
GM0060,2.0,2019JJ00
GM0060,2.0,2020JJ00
GM0060,2.0,2021JJ00
GM0060,2.0,2022JJ00
GM0060,2.0,2023JJ00
GM0307,78.0,2013JJ00
GM0307,78.0,2014JJ00
GM0307,79.0,2015JJ00
GM0307,81.0,2016JJ00
GM0307,82.0,2017JJ00
GM0307,85.0,2018JJ00
GM0307,87.0,2019JJ00
GM0307,87.0,2020JJ00
GM0307,87.0,2021JJ00
GM0307,91.0,2022JJ00
GM0307,93.0,2023JJ00
GM0362,41.0,2013JJ00
GM0362,42.0,2014JJ00
GM0362,43.0,2015JJ00
GM0362,44.0,2016JJ00
GM0362,45.0,2017JJ00
GM0362,46.0,2018JJ00
GM0362,47.0,2019JJ00
GM0362,46.0,2020JJ00
GM0362,46.0,2021JJ00
GM0362,49.0,2022JJ00
GM0362,51.0,2023JJ00
GM0363,429.0,2013JJ00
GM0363,436.0,2014JJ00
GM0363,444.0,2015JJ00
GM0363,463.0,2016JJ00
GM0363,468.0,2017JJ00
GM0363,478.0,2018JJ00
GM0363,489.0,2019JJ00
GM0363,489.0,2020JJ00
GM0363,492.0,2021JJ00
GM0363,531.0,2022JJ00
GM0363,541.0,2023JJ00
GM0200,79.0,2013JJ00
GM0200,78.0,2014JJ00
GM0200,78.0,2015JJ00
GM0200,79.0,2016JJ00
GM0200,82.0,2017JJ00
GM0200,82.0,2018JJ00
GM0200,84.0,2019JJ00
GM0200,85.0,2020JJ00
GM0200,85.0,2021JJ00
GM0200,88.0,2022JJ00
GM0200,91.0,2023JJ00
GM0202,77.0,2013JJ00
GM0202,74.0,2014JJ00
GM0202,75.0,2015JJ00
GM0202,77.0,2016JJ00
