ID,Value,Year
CR16,11.4,2008
CR16,11.5,2009
CR16,11.2,2010
CR16,10.7,2011
CR16,9.9,2012
CR16,10.3,2013
CR16,10.3,2014
CR16,10.0,2015
CR16,10.2,2016
CR16,10.1,2017
CR16,10.1,2018
CR16,9.9,2019
CR16,10.3,2020
CR16,11.1,2021
CR16,10.0,2022
CR17,13.2,1988
CR17,13.5,1989
CR17,13.9,1990
CR17,13.9,1991
CR17,13.8,1992
CR17,13.6,1993
CR17,13.3,1994
CR17,13.1,1995
CR17,13.2,1996
CR17,13.2,1997
CR17,13.7,1998
CR17,13.9,1999
CR17,14.4,2000
CR17,14.1,2001
CR17,14.0,2002
CR17,14.0,2003
CR17,13.5,2004
CR17,13.1,2005
CR17,13.0,2006
CR17,12.9,2007
CR17,12.8,2008
CR17,12.7,2009
CR17,12.6,2010
CR17,12.0,2011
CR17,12.0,2012
CR17,11.5,2013
CR17,11.8,2014
CR17,11.3,2015
CR17,11.3,2016
CR17,11.3,2017
CR17,11.0,2018
CR17,11.1,2019
CR17,10.9,2020
CR17,11.6,2021
CR17,10.3,2022
CR18,13.3,1988
CR18,13.0,1989
CR18,13.8,1990
CR18,13.4,1991
CR18,13.2,1992
CR18,13.5,1993
CR18,13.2,1994
CR18,12.5,1995
CR18,12.5,1996
CR18,12.3,1997
CR18,12.7,1998
CR18,13.0,1999
CR18,13.6,2000
CR18,12.9,2001
CR18,12.3,2002
CR18,12.3,2003
CR18,12.0,2004
CR18,11.3,2005
CR18,10.7,2006
CR18,10.6,2007
CR18,10.9,2008
CR18,10.5,2009
CR18,10.7,2010
CR18,10.1,2011
CR18,9.8,2012
CR18,9.3,2013
CR18,9.8,2014
CR18,9.3,2015
CR18,9.6,2016
CR18,9.4,2017
CR18,9.1,2018
CR18,8.9,2019
CR18,9.0,2020
CR18,9.6,2021
CR18,9.3,2022
CR19,12.8,1988
CR19,12.7,1989
CR19,13.1,1990
CR19,13.2,1991
CR19,12.9,1992
CR19,12.4,1993
CR19,12.4,1994
CR19,12.5,1995
CR19,11.7,1996
CR19,11.9,1997
CR19,12.2,1998
CR19,12.3,1999
CR19,13.1,2000
CR19,12.4,2001
CR19,12.6,2002
CR19,11.9,2003
CR19,11.9,2004
CR19,11.5,2005
CR19,11.0,2006
CR19,10.7,2007
CR19,11.1,2008
CR19,10.9,2009
CR19,10.8,2010
CR19,10.3,2011
CR19,10.1,2012
CR19,9.6,2013
CR19,9.9,2014
CR19,9.3,2015
CR19,9.4,2016
CR19,9.2,2017
CR19,9.2,2018
CR19,9.1,2019
CR19,9.0,2020
CR19,9.8,2021
CR19,8.6,2022
CR20,11.7,1988
CR20,11.9,1989
CR20,13.3,1990
CR20,13.0,1991
CR20,12.9,1992
CR20,13.2,1993
