RegioS,k_45JaarOfOuder_15,Perioden
CR05  ,1.0,1992JJ00
CR05  ,3.0,1993JJ00
CR05  ,0.0,1994JJ00
CR05  ,0.0,1995JJ00
CR05  ,1.0,1996JJ00
CR05  ,1.0,1997JJ00
CR05  ,1.0,1998JJ00
CR05  ,1.0,1999JJ00
CR05  ,2.0,2000JJ00
CR05  ,0.0,2001JJ00
CR05  ,2.0,2002JJ00
CR05  ,0.0,2003JJ00
CR05  ,1.0,2004JJ00
CR05  ,2.0,2005JJ00
CR05  ,0.0,2006JJ00
CR05  ,1.0,2007JJ00
CR05  ,1.0,2008JJ00
CR05  ,1.0,2009JJ00
CR05  ,3.0,2010JJ00
CR05  ,2.0,2011JJ00
CR05  ,1.0,2012JJ00
CR05  ,2.0,2013JJ00
CR05  ,2.0,2014JJ00
CR05  ,1.0,2015JJ00
CR05  ,4.0,2016JJ00
CR05  ,2.0,2017JJ00
CR05  ,1.0,2018JJ00
CR05  ,4.0,2019JJ00
CR05  ,0.0,2020JJ00
CR05  ,1.0,2021JJ00
CR05  ,3.0,2022JJ00
CR05  ,5.0,2023JJ00
CR06  ,2.0,1988JJ00
CR06  ,0.0,1989JJ00
CR06  ,0.0,1990JJ00
CR06  ,1.0,1991JJ00
CR06  ,3.0,1992JJ00
CR06  ,1.0,1993JJ00
CR06  ,6.0,1994JJ00
CR06  ,2.0,1995JJ00
CR06  ,1.0,1996JJ00
CR06  ,3.0,1997JJ00
CR06  ,2.0,1998JJ00
CR06  ,1.0,1999JJ00
CR06  ,1.0,2000JJ00
CR06  ,2.0,2001JJ00
CR06  ,1.0,2002JJ00
CR06  ,5.0,2003JJ00
CR06  ,1.0,2004JJ00
CR06  ,0.0,2005JJ00
CR06  ,1.0,2006JJ00
CR06  ,2.0,2007JJ00
CR06  ,3.0,2008JJ00
